key,title,abstractSession,description,start,end,link,key:practicum,additional
sessionPracticum-01,Title 1,Abstract session 1,Description 1,2025/06/24 08:00,2025/07/12 12:00,https://www.icsi.in/icsi-2019/programme/practicum-1,practicum-01,false
sessionPracticum-02,Title 2,Abstract session 2,Description 2,2025/06/24 13:00,2025/07/13 17:00,https://www.icsi.in/icsi-2019/programme/practicum-2,practicum-02,false
sessionPracticum-03,Title 3,Abstract session 3,Description 3,2025/06/25 08:00,2025/07/15 12:00,https://www.icsi.in/icsi-2019/programme/practicum-3,practicum-03,false
sessionPracticum-04,Title 4,Abstract session 4,Description 4,2025/06/25 13:00,2027/12/31 00:00,https://www.icsi.in/icsi-2019/programme/practicum-4,practicum-04,false
sessionPracticum-05,Title with 75 characters 00000000000000000000000000000000000000000000000005,Abstract session with 100 characters 000000000000000000000000000000000000000000000000000000000000005,Description with 100 characters 00000000000000000000000000000000000000000000000000000000000000000005,2021/02/13 19:39,2021/02/13 19:39,https://www.icsi.in/icsi-2019/programme/practicum-5,practicum-05,false
sessionPracticum-06,Title with point.,Abstract session with point.,Description with point.,2021/02/13 00:00,2022/02/13 00:00,https://www.icsi.in/icsi-2019/programme/practicum-6,practicum-06,false
sessionPracticum-07,"Title with comma,","Abstract session with comma,","Description with comma,",2021/02/13 12:00,2021/03/13 12:00,https://www.icsi.in/icsi-2019/programme/practicum-7,practicum-07,false
sessionPracticum-08,Title with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,Abstract session with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,Description with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,2021/02/13 23:59,2021/03/13 23:59,https://www.icsi.in/icsi-2019/programme/practicum-8,practicum-08,false
sessionPracticum-09,Title with strange characters: !@#$%^&*(),Abstract session with strange characters: !@#$%^&*(),Description with strange characters: !@#$%^&*(),2021/01/01 00:00,2021/04/01 00:00,https://www.icsi.in/icsi-2019/programme/practicum-9,practicum-09,false
sessionPracticum-10,Title in other language: ä¼�ä¸š,Abstract session in other language: ä¼�ä¸š,Description in other language: ä¼�ä¸š,2020/12/31 23:59,2040/12/31 23:59,https://www.icsi.in/icsi-2019/programme/practicum-10,practicum-10,false
sessionPracticum-11,<script>alert('The title alert');</script>,<script>alert('The abstract session alert');</script>,<script>alert('The description alert');</script>,2020/12/31 23:59,2021/01/15 23:59,https://www.icsi.in/icsi-2019/programme/practicum-11,practicum-10,false
sessionPracticum-12,<h1>The title in HTML</h1>,<h1>The abstract session in HTML</h1>,<h1>The description in HTML</h1>,2020/12/31 23:59,2021/10/31 23:59,https://www.icsi.in/icsi-2019/programme/practicum-12,practicum-10,false
sessionPracticum-13,DROP TABLE sessionPracticum;,DELETE FROM sessionPracticum;,TRUNCATE TABLE sessionPracticum;,2021/12/31 23:59,2022/05/23 23:59,https://www.icsi.in/icsi-2019/programme/practicum-13,practicum-10,false
sessionPracticum-15,Session 2 week,Abstract session 2 week,Description 2 week,2021/02/13 23:59,2021/02/20 23:59,https://www.icsi.in/icsi-2019/programme/practicum-14,practicum-14,false
sessionPracticum-16,Session 2 week,Abstract session 2 week,Description 2 week,2021/02/13 23:59,2021/02/20 23:59,https://www.icsi.in/icsi-2019/programme/practicum-14,practicum-15,false
sessionPracticum-17,Session 2 week,Abstract session 2 week,Description 2 week,2021/02/13 23:59,2021/02/20 23:59,https://www.icsi.in/icsi-2019/programme/practicum-14,practicum-16,false
sessionPracticum-18,Session 2 week,Abstract session 2 week,Description 2 week,2021/02/13 23:59,2021/02/20 23:59,https://www.icsi.in/icsi-2019/programme/practicum-14,practicum-17,false
