key,code,title,abstractSession,description,start,end,link,key:practicum
sessionPracticum-01,AAA123,Title 1,Abstract session 1,Description 1,2025/06/24 08:00,2025/07/12 12:00,https://www.icsi.in/icsi-2019/programme/practicum-1,practicum-01
sessionPracticum-02,XYZ678,Title 2,Abstract session 2,Description 2,2025/06/24 13:00,2025/07/13 17:00,https://www.icsi.in/icsi-2019/programme/practicum-2,practicum-02
sessionPracticum-03,QQQ912,Title 3,Abstract session 3,Description 3,2025/06/25 08:00,2025/07/15 12:00,https://www.icsi.in/icsi-2019/programme/practicum-3,practicum-03
sessionPracticum-04,DDD007,Title 4,Abstract session 4,Description 4,2025/06/25 13:00,2020/12/31 00:00,https://www.icsi.in/icsi-2019/programme/practicum-4,practicum-04
sessionPracticum-05,ZZ999,Title with 75 characters 00000000000000000000000000000000000000000000000005,Abstract session with 100 characters 000000000000000000000000000000000000000000000000000000000000005,Description with 100 characters 00000000000000000000000000000000000000000000000000000000000000000005,2021/02/13 19:39,2021/02/13 19:39,https://www.icsi.in/icsi-2019/programme/practicum-5,practicum-05
sessionPracticum-06,Z999,Title with point.,Abstract session with point.,Description with point.,2021/02/13 00:00,2021/02/13 00:00,https://www.icsi.in/icsi-2019/programme/practicum-6,practicum-06
sessionPracticum-07,AAA999,"Title with comma,","Abstract session with comma,","Description with comma,",2021/02/13 12:00,2021/02/13 12:00,https://www.icsi.in/icsi-2019/programme/practicum-7,practicum-07
sessionPracticum-08,ZAZ999,Title with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,Abstract session with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,Description with strange letters: Ã¡Ã©Ã­Ã³ÃºÃ¼Ã±,2021/02/13 23:59,2021/02/13 23:59,https://www.icsi.in/icsi-2019/programme/practicum-8,practicum-08
sessionPracticum-09,ZZA999,Title with strange characters: !@#$%^&*(),Abstract session with strange characters: !@#$%^&*(),Description with strange characters: !@#$%^&*(),2021/01/01 00:00,2021/01/01 00:00,https://www.icsi.in/icsi-2019/programme/practicum-9,practicum-09
sessionPracticum-10,AZZ999,Title in other language: ä¼�ä¸š,Abstract session in other language: ä¼�ä¸š,Description in other language: ä¼�ä¸š,2020/12/31 23:59,2020/12/31 23:59,https://www.icsi.in/icsi-2019/programme/practicum-10,practicum-10
